Date,Close,Open,Low,High,Volume
2023-04-22,27817.5,27265.89453125,27169.5703125,27872.142578125,13125734602
2023-04-23,27591.384765625,27816.14453125,27400.314453125,27820.244140625,12785446832
2023-04-24,27525.33984375,27591.73046875,27070.849609375,27979.982421875,17703288330
2023-04-25,28307.59765625,27514.873046875,27207.931640625,28371.078125,17733373139
2023-04-26,28422.701171875,28300.05859375,27324.548828125,29995.837890625,31854242019
2023-04-27,29473.787109375,28428.46484375,28402.88671875,29871.546875,27153445027
2023-04-28,29340.26171875,29481.013671875,28929.609375,29572.791015625,17544464887
2023-04-29,29248.48828125,29336.56640625,29088.04296875,29452.455078125,10662634333
2023-04-30,29268.806640625,29245.515625,29114.021484375,29952.029296875,14652199272
2023-05-01,28091.568359375,29227.103515625,27680.79296875,29329.935546875,18655599976
2023-05-02,28680.537109375,28087.17578125,27924.123046875,28881.298828125,16432924527
2023-05-03,29006.30859375,28680.494140625,28178.388671875,29259.533203125,19122972518
2023-05-04,28847.7109375,29031.3046875,28694.0390625,29353.185546875,15548678514
2023-05-05,29534.384765625,28851.48046875,28845.509765625,29668.908203125,17936566518
2023-05-06,28904.623046875,29538.859375,28468.966796875,29820.126953125,15913866714
2023-05-07,28454.978515625,28901.623046875,28441.3671875,29157.517578125,11301355486
2023-05-08,27694.2734375,28450.45703125,27310.134765625,28663.271484375,19122903752
2023-05-09,27658.775390625,27695.068359375,27375.6015625,27821.400390625,14128593256
2023-05-10,27621.755859375,27654.63671875,26883.669921875,28322.6875,20656025026
2023-05-11,27000.7890625,27621.0859375,26781.826171875,27621.94140625,16724343943
2023-05-12,26804.990234375,26987.662109375,25878.4296875,27055.646484375,19313599897
2023-05-13,26784.078125,26807.76953125,26710.873046875,27030.482421875,9999171605
2023-05-14,26930.638671875,26788.974609375,26661.35546875,27150.9765625,10014858959
2023-05-15,27192.693359375,26931.384765625,26766.09765625,27646.34765625,14413231792
2023-05-16,27036.650390625,27171.513671875,26878.947265625,27299.3046875,12732238816
2023-05-17,27398.802734375,27035.470703125,26600.14453125,27465.927734375,15140006925
2023-05-18,26832.208984375,27401.650390625,26415.1015625,27466.52734375,15222938600
2023-05-19,26890.12890625,26826.75390625,26700.2109375,27128.619140625,11258983301
2023-05-20,27129.5859375,26888.841796875,26843.27734375,27155.158203125,7044911360
2023-05-21,26753.826171875,27118.423828125,26706.921875,27265.91796875,8647416921
2023-05-22,26851.27734375,26749.892578125,26549.734375,27045.734375,11056770492
2023-05-23,27225.7265625,26855.9609375,26816.1796875,27434.68359375,13697203143
2023-05-24,26334.818359375,27224.603515625,26106.576171875,27224.603515625,16299104428
2023-05-25,26476.20703125,26329.4609375,25890.59375,26591.51953125,13851122697
2023-05-26,26719.291015625,26474.181640625,26343.94921875,26916.669921875,12711619225
2023-05-27,26868.353515625,26720.181640625,26621.140625,26888.8828125,7892015141
2023-05-28,28085.646484375,26871.158203125,26802.751953125,28193.44921875,14545229578
2023-05-29,27745.884765625,28075.591796875,27563.876953125,28432.0390625,15181308984
2023-05-30,27702.349609375,27745.123046875,27588.501953125,28044.759765625,13251081851
2023-05-31,27219.658203125,27700.529296875,26866.453125,27831.677734375,15656371534
2023-06-01,26819.97265625,27218.412109375,26671.720703125,27346.10546875,14678970415
2023-06-02,27249.58984375,26824.556640625,26574.64453125,27303.861328125,14837415000
2023-06-03,27075.12890625,27252.32421875,26958.00390625,27317.052734375,8385597470
2023-06-04,27119.06640625,27075.123046875,26968.224609375,27407.01953125,9360912318
